,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,past_rank_5,past_rank_6,past_rank_7,past_rank_8,past_rank_9,next_rank,past_rank_0,diff,est
238,1371,0.00595238095238,0.0,0.0,1.0,0.0,84,2016-04-03 ~ 2016-04-09,Might Be%LUKE NASTY,80,82,78,80,85,101,101,101,101,101,83,84,-3.96,86.96
239,1372,0.00595238095238,0.0,1.0,0.5,1.0,83,2016-04-10 ~ 2016-04-16,Might Be%LUKE NASTY,80,84,82,78,80,85,101,101,101,101,78,83,-6.43859649123,84.4385964912
240,1371,0.00595238095238,0.0,0.0,1.0,0.0,83,2016-04-03 ~ 2016-04-09,Might Not%BELLY ,81,94,96,100,101,101,101,101,101,101,81,83,6.0,75.0
241,1372,0.00595238095238,0.0,0.0,1.0,0.0,81,2016-04-10 ~ 2016-04-16,Might Not%BELLY ,81,83,94,96,100,101,101,101,101,101,77,81,-4.39622641509,81.3962264151
242,1373,0.00595238095238,0.0,0.0,1.0,0.0,77,2016-04-17 ~ 2016-04-23,Might Not%BELLY ,81,81,83,94,96,100,101,101,101,101,73,77,-0.555555555556,73.5555555556
243,1371,0.00595238095238,0.0,0.0,1.0,0.0,86,2016-04-03 ~ 2016-04-09,Mind Reader%DUSTIN LYNCH,82,88,84,85,101,101,101,101,101,101,84,86,-1.83333333333,85.8333333333
244,1372,0.00595238095238,0.0,0.0,1.0,0.0,84,2016-04-10 ~ 2016-04-16,Mind Reader%DUSTIN LYNCH,82,86,88,84,85,101,101,101,101,101,74,84,-9.94117647059,83.9411764706
245,1373,0.00595238095238,0.0,0.0,1.0,0.0,74,2016-04-17 ~ 2016-04-23,Mind Reader%DUSTIN LYNCH,82,84,86,88,84,85,101,101,101,101,79,74,10.3333333333,68.6666666667
246,1371,0.00595238095238,0.0,0.0,1.0,0.0,53,2016-04-03 ~ 2016-04-09,My Church%MAREN MORRIS,83,51,55,55,63,65,71,91,101,101,53,53,-5.4126984127,58.4126984127
247,1372,39.8104265403,0.142857142857,0.0,5.0,0.392857142857,53,2016-04-10 ~ 2016-04-16,My Church%MAREN MORRIS,83,53,51,55,55,63,65,71,91,101,50,53,-2.91666666667,52.9166666667
248,1373,2.31155548421,0.928571428571,0.0,27.0,1.42857142857,50,2016-04-17 ~ 2016-04-23,My Church%MAREN MORRIS,83,53,53,51,55,55,63,65,71,91,58,50,7.06666666667,50.9333333333
249,1371,0.00595238095238,0.0,0.0,1.0,0.0,5,2016-04-03 ~ 2016-04-09,My House%FLO RIDA,84,4,4,5,5,5,8,5,12,23,4,5,-2.16014234875,6.16014234875
250,1372,0.00595238095238,0.0,0.0,1.0,0.0,4,2016-04-10 ~ 2016-04-16,My House%FLO RIDA,84,5,4,4,5,5,5,8,5,12,6,4,1.7268722467,4.2731277533
251,1373,0.00595238095238,0.0,0.0,1.0,0.0,6,2016-04-17 ~ 2016-04-23,My House%FLO RIDA,84,4,5,4,4,5,5,5,8,5,7,6,-0.955128205128,7.95512820513
252,1371,0.00595238095238,0.0,0.0,1.0,0.0,71,2016-04-03 ~ 2016-04-09,Needed Me%RIHANNA,85,68,66,64,74,84,91,101,101,101,64,71,-9.4358974359,73.4358974359
253,1372,780.41958042,0.0,0.0,1.0,0.0,64,2016-04-10 ~ 2016-04-16,Needed Me%RIHANNA,85,71,68,66,64,74,84,91,101,101,59,64,-3.28205128205,62.2820512821
254,1373,1.21310713456,0.0,0.0689655172414,0.333333333333,0.0,59,2016-04-17 ~ 2016-04-23,Needed Me%RIHANNA,85,64,71,68,66,64,74,84,91,101,47,59,-10.7708333333,57.7708333333
255,1371,0.00595238095238,0.0,0.0,1.0,0.0,19,2016-04-03 ~ 2016-04-09,Never Forget You%ZARA LARSSON & MNEK,86,22,34,58,83,101,101,101,101,101,17,19,-1.76744186047,18.7674418605
256,1372,0.264725347452,0.0,0.0,1.0,0.5,17,2016-04-10 ~ 2016-04-16,Never Forget You%ZARA LARSSON & MNEK,86,19,22,34,58,83,101,101,101,101,15,17,-0.747368421053,15.7473684211
257,1373,2.32209146197,0.34693877551,0.0204081632653,9.0,0.387755102041,15,2016-04-17 ~ 2016-04-23,Never Forget You%ZARA LARSSON & MNEK,86,17,19,22,34,58,83,101,101,101,15,15,0.127450980392,14.8725490196
258,1371,0.00595238095238,0.0,0.0,1.0,0.0,69,2016-04-03 ~ 2016-04-09,New Romantics%TAYLOR SWIFT,87,73,101,101,101,101,101,101,101,101,62,69,-4.4375,66.4375
259,1372,4.18533082578,0.0,0.0,1.0,0.0,62,2016-04-10 ~ 2016-04-16,New Romantics%TAYLOR SWIFT,87,69,73,101,101,101,101,101,101,101,61,62,1.30434782609,59.6956521739
260,1373,6.89516129032,0.0,0.0,1.0,0.0,61,2016-04-17 ~ 2016-04-23,New Romantics%TAYLOR SWIFT,87,62,69,73,101,101,101,101,101,101,62,61,0.0704225352113,61.9295774648
261,1371,0.00595238095238,0.0,0.0,1.0,0.0,12,2016-04-03 ~ 2016-04-09,No%MEGHAN TRAINOR,88,11,101,101,101,101,101,101,101,101,6,12,-7.8125,13.8125
262,1372,0.00595238095238,0.0,0.0,1.0,0.0,6,2016-04-10 ~ 2016-04-16,No%MEGHAN TRAINOR,88,12,11,101,101,101,101,101,101,101,3,6,-2.0,5.0
263,1373,0.00595238095238,0.0,0.0,1.0,0.0,3,2016-04-17 ~ 2016-04-23,No%MEGHAN TRAINOR,88,6,12,11,101,101,101,101,101,101,3,3,0.209302325581,2.79069767442
264,1371,0.00595238095238,0.0,0.0,1.0,0.0,81,2016-04-03 ~ 2016-04-09,Nobody To Blame%CHRIS STAPLETON,89,78,74,70,73,76,77,76,80,97,82,81,-3.55737704918,85.5573770492
265,1372,1.06358381503,1.0,0.0,24.0,0.0434782608696,82,2016-04-10 ~ 2016-04-16,Nobody To Blame%CHRIS STAPLETON,89,81,78,74,70,73,76,77,76,80,81,82,-4.72916666667,85.7291666667
266,1373,2.73646870797,1.0,0.0,40.0,0.205128205128,81,2016-04-17 ~ 2016-04-23,Nobody To Blame%CHRIS STAPLETON,89,82,81,78,74,70,73,76,77,76,68,81,-14.6666666667,82.6666666667
270,1371,0.00595238095238,0.0,0.0,1.0,0.0,14,2016-04-03 ~ 2016-04-09,One Call Away%CHARLIE PUTH,91,15,16,14,12,15,17,22,26,34,14,14,-0.780141843972,14.780141844
271,1372,0.00595238095238,0.0,0.0,1.0,0.0,14,2016-04-10 ~ 2016-04-16,One Call Away%CHARLIE PUTH,91,14,15,16,14,12,15,17,22,26,16,14,1.07425742574,14.9257425743
272,1373,0.00595238095238,0.0,0.0,1.0,0.0,16,2016-04-17 ~ 2016-04-23,One Call Away%CHARLIE PUTH,91,14,14,15,16,14,12,15,17,22,20,16,1.9765625,18.0234375
276,1372,0.00595238095238,0.0,0.0,1.0,0.0,24,2016-04-10 ~ 2016-04-16,Oui%JEREMIH,93,27,33,27,28,45,48,53,53,55,21,24,-3.06666666667,24.0666666667
277,1371,0.00595238095238,0.0,0.0,1.0,0.0,27,2016-04-03 ~ 2016-04-09,Oui%JEREMIH,93,33,27,28,45,48,53,53,55,64,24,27,-1.725,25.725
278,1373,0.470342304677,0.0,0.0,1.0,0.5,21,2016-04-17 ~ 2016-04-23,Oui%JEREMIH,93,24,27,33,27,28,45,48,53,53,19,21,-1.75,20.75
282,1371,0.00595238095238,0.0,0.0,1.0,0.0,33,2016-04-03 ~ 2016-04-09,Panda%DESIIGNER,95,72,94,96,101,101,101,101,101,101,21,33,-10.0,31.0
283,1372,8.21698710473,0.452554744526,0.0656934306569,6.3,1.43795620438,21,2016-04-10 ~ 2016-04-16,Panda%DESIIGNER,95,33,72,94,96,101,101,101,101,101,14,21,-4.0,18.0
284,1373,10.303030303,0.503267973856,0.0261437908497,15.6,0.555555555556,14,2016-04-17 ~ 2016-04-23,Panda%DESIIGNER,95,21,33,72,94,96,101,101,101,101,5,14,-7.71428571429,12.7142857143
288,1371,0.00595238095238,0.0,0.0,1.0,0.0,70,2016-04-03 ~ 2016-04-09,Piece By Piece%KELLY CLARKSON,97,20,8,101,101,101,101,101,101,101,78,70,-11.6666666667,89.6666666667
289,1372,163.573085847,0.285815602837,0.0794326241135,3.57522123894,0.486524822695,78,2016-04-10 ~ 2016-04-16,Piece By Piece%KELLY CLARKSON,97,70,20,8,101,101,101,101,101,101,82,78,-1.72413793103,83.724137931
290,1373,158.264748382,0.291175419793,0.0432297249018,6.68852459016,0.759914255091,82,2016-04-17 ~ 2016-04-23,Piece By Piece%KELLY CLARKSON,97,78,70,20,8,101,101,101,101,101,72,82,-15.4722222222,87.4722222222
291,1371,0.00595238095238,0.0,0.0,1.0,0.0,6,2016-04-03 ~ 2016-04-09,Pillowtalk%ZAYN,98,6,6,6,6,7,1,101,101,101,8,6,1.24483775811,6.75516224189
292,1372,18.3235247336,1.0,0.0,33.0,0.21875,8,2016-04-10 ~ 2016-04-16,Pillowtalk%ZAYN,98,6,6,6,6,6,7,1,101,101,4,8,-5.7,9.7
293,1373,2.82648521329,1.0,0.0,31.0,0.4,4,2016-04-17 ~ 2016-04-23,Pillowtalk%ZAYN,98,8,6,6,6,6,6,7,1,101,4,4,0.379310344828,3.62068965517
294,1371,0.00595238095238,0.0,0.0,1.0,0.0,75,2016-04-03 ~ 2016-04-09,Promise%KID INK ,99,85,83,82,92,101,101,101,101,101,70,75,-0.590909090909,70.5909090909
295,1372,0.00595238095238,0.0,0.0,1.0,0.0,70,2016-04-10 ~ 2016-04-16,Promise%KID INK ,99,75,85,83,82,92,101,101,101,101,67,70,-2.19607843137,69.1960784314
296,1373,0.00595238095238,0.0,0.0,1.0,0.0,67,2016-04-17 ~ 2016-04-23,Promise%KID INK ,99,70,75,85,83,82,92,101,101,101,64,67,-2.75384615385,66.7538461538
297,1372,0.00595238095238,0.0,0.0,1.0,0.0,59,2016-04-10 ~ 2016-04-16,Really Really%KEVIN GATES,100,62,59,64,61,67,62,59,82,76,54,59,-4.03797468354,58.0379746835
298,1371,0.00595238095238,0.0,0.0,1.0,0.0,62,2016-04-03 ~ 2016-04-09,Really Really%KEVIN GATES,100,59,64,61,67,62,59,82,76,83,59,62,-11.2033898305,70.2033898305
299,1373,24.1083127093,0.217391304348,0.0434782608696,3.66666666667,0.260869565217,54,2016-04-17 ~ 2016-04-23,Really Really%KEVIN GATES,100,59,62,59,64,61,67,62,59,82,61,54,10.3125,50.6875
301,1372,4.30480404173,0.15,0.025,3.5,1.4,96,2016-04-10 ~ 2016-04-16,Ride%TWENTY ONE PILOTS,101,96,101,101,101,101,101,101,101,101,88,96,-6.76595744681,94.7659574468
302,1373,3.22062367633,0.30612244898,0.0408163265306,5.33333333333,0.489795918367,88,2016-04-17 ~ 2016-04-23,Ride%TWENTY ONE PILOTS,101,96,96,101,101,101,101,101,101,101,87,88,0.5,86.5
303,1372,0.00595238095238,0.0,0.0,1.0,0.0,16,2016-04-10 ~ 2016-04-16,Roses%THE CHAINSMOKERS ,102,17,14,13,10,9,9,9,6,8,20,16,3.83760683761,16.1623931624
304,1371,0.00595238095238,0.0,0.0,1.0,0.0,17,2016-04-03 ~ 2016-04-09,Roses%THE CHAINSMOKERS ,102,14,13,10,9,9,9,6,8,11,16,17,-3.73134328358,19.7313432836
305,1373,0.0119047619048,1.0,0.0,3.0,0.0,20,2016-04-17 ~ 2016-04-23,Roses%THE CHAINSMOKERS ,102,16,17,14,13,10,9,9,9,6,26,20,1.98780487805,24.012195122
306,1371,0.00595238095238,0.0,0.0,1.0,0.0,45,2016-04-03 ~ 2016-04-09,Same Old Love%SELENA GOMEZ,103,35,26,20,17,18,15,8,7,5,48,45,-10.2903225806,58.2903225806
309,1371,0.00595238095238,0.0,0.0,1.0,0.0,90,2016-04-03 ~ 2016-04-09,Saved%TY DOLLA $IGN ,104,95,90,93,101,101,101,101,101,101,89,90,1.27027027027,87.7297297297
310,1372,10.432941888,0.121739130435,0.0260869565217,3.75,1.70434782609,89,2016-04-10 ~ 2016-04-16,Saved%TY DOLLA $IGN ,104,90,95,90,93,101,101,101,101,101,83,89,-7.85416666667,90.8541666667
311,1373,8.36048994269,0.161290322581,0.0645161290323,2.2,0.41935483871,83,2016-04-17 ~ 2016-04-23,Saved%TY DOLLA $IGN ,104,89,90,95,90,93,101,101,101,101,91,83,11.40625,79.59375
312,1371,0.00595238095238,0.0,0.0,1.0,0.0,37,2016-04-03 ~ 2016-04-09,Say It%TORY LANEZ,105,30,32,27,30,29,27,27,23,26,38,37,-4.68085106383,42.6808510638
313,1372,2.32258064516,1.0,0.0,5.0,0.0,38,2016-04-10 ~ 2016-04-16,Say It%TORY LANEZ,105,37,30,32,27,30,29,27,27,23,42,38,0.483870967742,41.5161290323
318,1373,0.00595238095238,0.0,0.0,1.0,0.0,55,2016-04-17 ~ 2016-04-23,Snapback%OLD DOMINION,107,60,64,62,70,71,79,82,88,100,52,55,-0.8125,52.8125
319,1371,0.00595238095238,0.0,0.0,1.0,0.0,64,2016-04-03 ~ 2016-04-09,Snapback%OLD DOMINION,107,62,70,71,79,82,88,100,101,101,60,64,-8.26785714286,68.2678571429
320,1372,0.0119047619048,0.0,0.0,1.0,1.0,60,2016-04-10 ~ 2016-04-16,Snapback%OLD DOMINION,107,64,62,70,71,79,82,88,100,101,55,60,-3.70422535211,58.7042253521
321,1371,0.00595238095238,0.0,0.0,1.0,0.0,72,2016-04-03 ~ 2016-04-09,Something In The Way You Move%ELLIE GOULDING,108,52,53,43,62,66,70,81,101,101,87,72,3.33333333333,83.6666666667
322,1372,2.0903947173,0.0232558139535,0.0,2.0,2.97674418605,87,2016-04-10 ~ 2016-04-16,Something In The Way You Move%ELLIE GOULDING,108,72,52,53,43,62,66,70,81,101,96,87,2.375,93.625
325,1371,0.00595238095238,0.0,0.0,1.0,0.0,93,2016-04-03 ~ 2016-04-09,Something New%ZENDAYA ,109,96,101,101,101,101,101,101,101,101,97,93,5.26086956522,91.7391304348
327,1371,0.00595238095238,0.0,0.0,1.0,0.0,59,2016-04-03 ~ 2016-04-09,Somewhere On A Beach%DIERKS BENTLEY,110,61,68,78,87,100,101,98,101,101,54,59,-4.87301587302,58.873015873
328,1372,0.00595238095238,0.0,0.0,1.0,0.0,54,2016-04-10 ~ 2016-04-16,Somewhere On A Beach%DIERKS BENTLEY,110,59,61,68,78,87,100,101,98,101,43,54,-7.6875,50.6875
329,1373,0.00595238095238,0.0,0.0,1.0,0.0,43,2016-04-17 ~ 2016-04-23,Somewhere On A Beach%DIERKS BENTLEY,110,54,59,61,68,78,87,100,101,98,39,43,-4.27272727273,43.2727272727
331,1371,0.00595238095238,0.0,0.0,1.0,0.0,95,2016-04-03 ~ 2016-04-09,Sorry Not Sorry%BRYSON TILLER,111,99,93,86,84,80,83,77,67,74,99,95,6.48484848485,92.5151515152
333,1373,0.00595238095238,0.0,0.0,1.0,0.0,13,2016-04-17 ~ 2016-04-23,Sorry%JUSTIN BIEBER,112,11,8,8,5,4,4,3,3,2,14,13,-1.38167938931,15.3816793893
334,1371,0.00595238095238,0.0,0.0,1.0,0.0,8,2016-04-03 ~ 2016-04-09,Sorry%JUSTIN BIEBER,112,8,5,4,4,3,3,2,1,1,11,8,2.036900369,8.963099631
335,1372,0.00595238095238,0.0,0.0,1.0,1.0,11,2016-04-10 ~ 2016-04-16,Sorry%JUSTIN BIEBER,112,8,8,5,4,4,3,3,2,1,13,11,-0.376146788991,13.376146789
336,1371,0.00595238095238,0.0,0.0,1.0,0.0,61,2016-04-03 ~ 2016-04-09,Stand By You%RACHEL PLATTEN,113,47,42,41,41,37,37,37,42,46,77,61,1.57142857143,75.4285714286
337,1372,0.00595238095238,0.0,0.0,1.0,0.0,77,2016-04-10 ~ 2016-04-16,Stand By You%RACHEL PLATTEN,113,61,47,42,41,41,37,37,37,42,75,77,-5.125,80.125
342,1371,0.00595238095238,0.0,0.0,1.0,0.0,20,2016-04-03 ~ 2016-04-09,Stitches%SHAWN MENDES,115,17,17,16,13,10,11,11,6,8,22,20,-1.32038834951,23.3203883495
343,1372,21.4739272657,0.0,0.0,1.0,0.0,22,2016-04-10 ~ 2016-04-16,Stitches%SHAWN MENDES,115,20,17,17,16,13,10,11,11,6,23,22,-1.04545454545,24.0454545455
344,1373,2.5449997281,0.0,0.0,1.0,0.0,23,2016-04-17 ~ 2016-04-23,Stitches%SHAWN MENDES,115,22,20,17,17,16,13,10,11,11,27,23,1.72897196262,25.2710280374
345,1371,0.00595238095238,0.0,0.0,1.0,0.0,4,2016-04-03 ~ 2016-04-09,Stressed Out%TWENTY ONE PILOTS,116,3,3,3,3,2,4,3,4,4,5,4,0.0808823529412,4.91911764706
346,1372,0.00595238095238,0.0,0.0,1.0,0.0,5,2016-04-10 ~ 2016-04-16,Stressed Out%TWENTY ONE PILOTS,116,4,3,3,3,3,2,4,3,4,7,5,0.839857651246,6.16014234875
347,1373,0.00595238095238,0.0,0.0,1.0,0.0,7,2016-04-17 ~ 2016-04-23,Stressed Out%TWENTY ONE PILOTS,116,5,4,3,3,3,3,2,4,3,11,7,2.62345679012,8.37654320988
348,1371,0.00595238095238,0.0,0.0,1.0,0.0,51,2016-04-03 ~ 2016-04-09,Sugar%ROBIN SCHULZ ,117,44,45,47,56,57,60,54,58,68,63,51,4.375,58.625
349,1372,4.11833563903,0.372093023256,0.046511627907,5.66666666667,0.581395348837,63,2016-04-10 ~ 2016-04-16,Sugar%ROBIN SCHULZ ,117,51,44,45,47,56,57,60,54,58,68,63,-1.2,69.2
350,1373,13.0314743236,0.635593220339,0.0127118644068,37.75,1.80508474576,68,2016-04-17 ~ 2016-04-23,Sugar%ROBIN SCHULZ ,117,63,51,44,45,47,56,57,60,54,82,68,5.71739130435,76.2826086957
351,1371,0.00595238095238,0.0,0.0,1.0,0.0,31,2016-04-03 ~ 2016-04-09,Summer Sixteen%DRAKE,118,29,30,32,31,26,6,101,101,101,33,31,-1.96590909091,34.9659090909
352,1372,2.68976395384,0.0,0.037037037037,0.5,0.37037037037,33,2016-04-10 ~ 2016-04-16,Summer Sixteen%DRAKE,118,31,29,30,32,31,26,6,101,101,36,33,0.247058823529,35.7529411765
353,1373,2.64608599779,0.0,0.03125,0.5,0.09375,36,2016-04-17 ~ 2016-04-23,Summer Sixteen%DRAKE,118,33,31,29,30,32,31,26,6,101,45,36,2.3768115942,42.6231884058
354,1371,0.00595238095238,0.0,0.0,1.0,0.0,80,2016-04-03 ~ 2016-04-09,T-Shirt%THOMAS RHETT,119,84,92,101,101,101,101,101,101,101,74,80,-3.46153846154,77.4615384615
355,1372,14.6752423227,0.0444444444444,0.0,3.0,0.377777777778,74,2016-04-10 ~ 2016-04-16,T-Shirt%THOMAS RHETT,119,80,84,92,101,101,101,101,101,101,63,74,-8.08571428571,71.0857142857
356,1373,2.10813976186,0.111111111111,0.0,5.0,0.972222222222,63,2016-04-17 ~ 2016-04-23,T-Shirt%THOMAS RHETT,119,74,80,84,92,101,101,101,101,101,63,63,7.8,55.2
359,1373,0.249571049758,0.0,0.0,1.0,0.75,71,2016-04-17 ~ 2016-04-23,Team%IGGY AZALEA,120,42,101,101,101,101,101,101,101,101,65,71,-35.0,100.0
360,1371,0.00595238095238,0.0,0.0,1.0,0.0,92,2016-04-03 ~ 2016-04-09,That Don't Sound Like You%LEE BRICE,121,93,88,92,98,101,101,101,101,101,90,92,-2.26530612245,92.2653061224
361,1372,103.919975627,0.591908531223,0.0184696569921,30.6363636364,7.33069481091,90,2016-04-10 ~ 2016-04-16,That Don't Sound Like You%LEE BRICE,121,92,93,88,92,98,101,101,101,101,64,90,-25.5319148936,89.5319148936
362,1373,309.071072319,0.067776096823,0.00590015128593,11.225,3.94765506808,64,2016-04-17 ~ 2016-04-23,That Don't Sound Like You%LEE BRICE,121,90,92,93,88,92,98,101,101,101,69,64,11.6666666667,57.3333333333
366,1371,0.00595238095238,0.0,0.0,1.0,0.0,25,2016-04-03 ~ 2016-04-09,The Hills%THE WEEKND,123,24,21,22,27,25,23,21,18,14,28,25,0.300970873786,27.6990291262
367,1372,38.6670669469,0.978260869565,0.0186335403727,45.1428571429,0.251552795031,28,2016-04-10 ~ 2016-04-16,The Hills%THE WEEKND,123,25,24,21,22,27,25,23,21,18,33,28,0.701923076923,32.2980769231
368,1373,24.6624542734,0.994174757282,0.00582524271845,128.25,0.219417475728,33,2016-04-17 ~ 2016-04-23,The Hills%THE WEEKND,123,28,25,24,21,22,27,25,23,21,42,33,4.203125,37.796875
369,1371,0.00595238095238,0.0,0.0,1.0,0.0,73,2016-04-03 ~ 2016-04-09,The Sound Of Silence%DISTURBED,124,76,81,88,101,101,101,101,101,101,69,73,-1.9387755102,70.9387755102
370,1372,0.624256837099,0.0,0.0,1.0,0.0,69,2016-04-10 ~ 2016-04-16,The Sound Of Silence%DISTURBED,124,73,76,81,88,101,101,101,101,101,51,69,-15.4375,66.4375
371,1373,1.0749477456,0.111111111111,0.0,2.0,0.0,51,2016-04-17 ~ 2016-04-23,The Sound Of Silence%DISTURBED,124,69,73,76,81,88,101,101,101,101,49,51,7.85714285714,41.1428571429
372,1371,0.00595238095238,0.0,0.0,1.0,0.0,68,2016-04-03 ~ 2016-04-09,Think Of You%CHRIS YOUNG duet with CASSADEE POPE,125,64,69,74,86,101,101,101,101,101,57,68,-15.8596491228,72.8596491228
373,1372,1.09157064888,1.0,0.0,8.0,0.0,57,2016-04-10 ~ 2016-04-16,Think Of You%CHRIS YOUNG duet with CASSADEE POPE,125,68,64,69,74,86,101,101,101,101,53,57,-0.764705882353,53.7647058824
374,1373,1.672668138,1.0,0.0,29.0,0.0,53,2016-04-17 ~ 2016-04-23,Think Of You%CHRIS YOUNG duet with CASSADEE POPE,125,57,68,64,69,74,86,101,101,101,41,53,-10.0945945946,51.0945945946
378,1371,0.00595238095238,0.0,0.0,1.0,0.0,63,2016-04-03 ~ 2016-04-09,Try Everything%SHAKIRA,127,66,101,101,101,101,101,101,101,101,86,63,24.3888888889,61.6111111111
379,1372,0.00595238095238,0.0,0.0,1.0,0.0,86,2016-04-10 ~ 2016-04-16,Try Everything%SHAKIRA,127,63,66,101,101,101,101,101,101,101,65,86,-21.75,86.75
380,1373,0.00595238095238,0.0,0.0,1.0,0.0,65,2016-04-17 ~ 2016-04-23,Try Everything%SHAKIRA,127,86,63,66,101,101,101,101,101,101,75,65,14.3333333333,60.6666666667
405,1371,0.00595238095238,0.0,0.0,1.0,0.0,36,2016-04-03 ~ 2016-04-09,What Do You Mean?%JUSTIN BIEBER,136,34,29,25,25,23,21,17,10,10,37,36,-2.3734939759,39.3734939759
406,1372,0.00595238095238,0.0,0.0,1.0,0.0,37,2016-04-10 ~ 2016-04-16,What Do You Mean?%JUSTIN BIEBER,136,36,34,29,25,25,23,21,17,10,41,37,-1.46478873239,42.4647887324
408,1371,0.00595238095238,0.0,0.0,1.0,0.0,34,2016-04-03 ~ 2016-04-09,When We Were Young%ADELE,137,28,23,18,14,20,29,29,35,41,50,34,9.15,40.85
409,1372,0.304970289601,0.0,1.0,0.125,0.0,50,2016-04-10 ~ 2016-04-16,When We Were Young%ADELE,137,34,28,23,18,14,20,29,29,35,58,50,-10.625,68.625
410,1373,3.22122216959,0.0,0.911764705882,0.03125,0.0,58,2016-04-17 ~ 2016-04-23,When We Were Young%ADELE,137,50,34,28,23,18,14,20,29,29,70,58,5.36,64.64
414,1372,0.00595238095238,0.0,0.0,1.0,0.0,45,2016-04-10 ~ 2016-04-16,White Iverson%POST MALONE,139,49,46,44,42,39,34,24,19,17,49,45,1.5,47.5
415,1371,0.00595238095238,0.0,0.0,1.0,0.0,49,2016-04-03 ~ 2016-04-09,White Iverson%POST MALONE,139,46,44,42,39,34,24,19,17,16,45,49,-24.5365853659,69.5365853659
417,1371,0.00595238095238,0.0,0.0,1.0,0.0,66,2016-04-03 ~ 2016-04-09,Wild Things%ALESSIA CARA,140,69,80,91,101,101,101,101,101,101,58,66,-5.66666666667,63.6666666667
418,1372,0.445076342956,1.0,0.0,3.0,0.0,58,2016-04-10 ~ 2016-04-16,Wild Things%ALESSIA CARA,140,66,69,80,91,101,101,101,101,101,60,58,5.55813953488,54.4418604651
419,1373,0.1266104735,1.0,0.0,4.0,0.333333333333,60,2016-04-17 ~ 2016-04-23,Wild Things%ALESSIA CARA,140,58,66,69,80,91,101,101,101,101,60,60,-6.65217391304,66.652173913
423,1371,0.00595238095238,0.0,0.0,1.0,0.0,13,2016-04-03 ~ 2016-04-09,Work From Home%FIFTH HARMONY ,142,16,12,101,101,101,101,101,101,101,12,13,-0.528735632184,12.5287356322
424,1372,0.00595238095238,0.0,0.0,1.0,0.0,12,2016-04-10 ~ 2016-04-16,Work From Home%FIFTH HARMONY ,142,13,16,12,101,101,101,101,101,101,10,12,-2.65306122449,12.6530612245
425,1373,0.00595238095238,0.0,0.0,1.0,0.0,10,2016-04-17 ~ 2016-04-23,Work From Home%FIFTH HARMONY ,142,12,13,16,12,101,101,101,101,101,9,10,-0.875,9.875
426,1371,0.00595238095238,0.0,0.0,1.0,0.0,1,2016-04-03 ~ 2016-04-09,Work%RIHANNA ,143,1,1,1,1,4,7,9,101,101,1,1,-0.425925925926,1.42592592593
427,1372,1.71223631946,0.0540540540541,0.0,3.0,0.486486486486,1,2016-04-10 ~ 2016-04-16,Work%RIHANNA ,143,1,1,1,1,1,4,7,9,101,1,1,-0.425925925926,1.42592592593
428,1373,2.75612964017,0.0512820512821,0.0,3.0,0.794871794872,1,2016-04-17 ~ 2016-04-23,Work%RIHANNA ,143,1,1,1,1,1,1,4,7,9,1,1,-0.425925925926,1.42592592593
429,1372,0.00595238095238,0.0,0.0,1.0,0.0,32,2016-04-10 ~ 2016-04-16,You Should Be Here%COLE SWINDELL,144,32,38,43,50,55,54,57,60,70,31,32,-2.51492537313,33.5149253731
430,1371,0.00595238095238,0.0,0.0,1.0,0.0,32,2016-04-03 ~ 2016-04-09,You Should Be Here%COLE SWINDELL,144,38,43,50,55,54,57,60,70,82,32,32,2.19512195122,29.8048780488
431,1373,9164.38356164,0.406975585451,0.0613851519681,6.62074554295,1.83956153463,31,2016-04-17 ~ 2016-04-23,You Should Be Here%COLE SWINDELL,144,32,32,38,43,50,55,54,57,60,35,31,3.36781609195,31.632183908
433,1371,0.00595238095238,0.0,0.0,1.0,0.0,23,2016-04-03 ~ 2016-04-09,Youth%TROYE SIVAN,145,58,58,67,80,88,85,101,101,101,36,23,0.0,36.0
434,1372,0.00595238095238,0.0,0.0,1.0,0.0,36,2016-04-10 ~ 2016-04-16,Youth%TROYE SIVAN,145,23,58,58,67,80,88,85,101,101,34,36,-12.25,46.25
435,1373,0.00595238095238,0.0,0.0,1.0,0.0,34,2016-04-17 ~ 2016-04-23,Youth%TROYE SIVAN,145,36,23,58,58,67,80,88,85,101,46,34,12.5540540541,33.4459459459
