,artist,date,rank,song
27,O.T. GENASIS,2015-01-10,28 ,CoCo
28,IGGY AZALEA featuring MO,2015-01-10,29 ,Beg For It
29,JEREMIH featuring YG,2015-01-10,30 ,Don't Tell 'Em
30,USHER featuring JUICY J,2015-01-10,31 ,I Don't Mind
31,VANCE JOY,2015-01-10,32 ,Riptide
32,IGGY AZALEA featuring RITA ORA,2015-01-10,33 ,Black Widow
33,CRAIG WAYNE BOYD,2015-01-10,34 ,My Baby's Gor A Smile On Her Face
34,MARIAH CAREY,2015-01-10,35 ,All I Want For Christmas Is You
35,ALESSO featuring TOVE LO,2015-01-10,36 ,Heroes (We Could Be)
36,JASON DERULO,2015-01-10,37 ,Trumpets
37,TIM McGRAW,2015-01-10,38 ,Shotgun Rider
38,MILKY CHANCE,2015-01-10,39 ,Stolen Dance
39,SIA,2015-01-10,40 ,Chandelier
40,CARRIE UNDERWOOD,2015-01-10,41 ,Something In The Water
41,ARIANA GRANDE,2015-01-10,42 ,Santa Tell Me
42,NICKI MINAJ featuring BEYONCE,2015-01-10,43 ,Feeling Myself
43,RICH GANG featuring YOUNG THUG & RICH HOMIE QUAN,2015-01-10,44 ,Lifestyle
44,CLEAN BANDIT featuring JESS GLYNNE,2015-01-10,45 ,Rather Be
45,DEJ LOAF,2015-01-10,46 ,Try Me
46,ELLA HENDERSON,2015-01-10,47 ,Ghost
47,NICKI MINAJ,2015-01-10,48 ,Anaconda
48,MAGIC!,2015-01-10,49 ,Rude
49,ONE DIRECTION,2015-01-10,50 ,Night Changes
50,ERIC CHURCH,2015-01-10,51 ,Talladega
51,TREY SONGZ featuring NICKI MINAJ,2015-01-10,52 ,"Touchin', Lovin'"
52,CHRIS JAMISON,2015-01-10,53 ,Velvet
53,"DJ KHALED feat CHRIS BROWN, AUGUST ALSINA, FUTURE & JEREMIH",2015-01-10,54 ,Hold You Down
54,FERGIE,2015-01-10,55 ,L.A.LOVE (la la)
55,T.I. featuring YOUNG THUG,2015-01-10,56 ,About The Money
56,FLORIDA GEORGIA LINE,2015-01-10,57 ,Sun Daze
57,PENTATONIX,2015-01-10,58 ,"Mary, Did You Know?"
58,BRAD PAISLEY,2015-01-10,59 ,Perfect Storm
59,IMAGINE DRAGONS,2015-01-10,60 ,I Bet My Life
60,LUKE BRYAN,2015-01-10,61 ,I See You
61,NICKI MINAJ featuring SKYLAR GREY,2015-01-10,62 ,Bed Of Lies
62,CHRIS JAMISON & ADAM LEVINE,2015-01-10,63 ,Lost Without U
63,ONEREPUBLIC,2015-01-10,64 ,I Lived
64,JESSIE J,2015-01-10,65 ,Masterpiece
65,BLAKE SHELTON featuring ASHLEY MONROE,2015-01-10,66 ,Lonely Tonight
66,KENNY CHESNEY,2015-01-10,67 ,Til It's Gone
67,DAVID GUETTA featuring SAM MARTIN,2015-01-10,68 ,Dangerous
68,LILLYWOOD & ROBIN SCHULZ,2015-01-10,69 ,Prayer In C
69,ONE DIRECTION,2015-01-10,70 ,Steal My Girl
70,PARMALEE,2015-01-10,71 ,Close Your Eyes
71,LEE BRICE,2015-01-10,72 ,Drinking Class
72,JASON ALDEAN,2015-01-10,73 ,Just Gettin' Started
73,DAMIEN,2015-01-10,74 ,Soldier
74,FIFTH HARMONY,2015-01-10,75 ,Sledgehammer
75,THOMAS RHETT,2015-01-10,76 ,Make Me Wanna
76,FLO RIDA featuring SAGE THE GEMINI & LOOKAS,2015-01-10,77 ,G.D.F.R.
77,RAELYNN,2015-01-10,78 ,God Made Girls
78,NE-YO featuring JUICY J,2015-01-10,79 ,She Knows
79,KEITH URBAN,2015-01-10,80 ,Somewhere In My Car
80,THE WEEKND,2015-01-10,81 ,Often
81,BRETT ELDREDGE,2015-01-10,82 ,Mean To Me
82,MATT McANDREW & ADAM LEVINE,2015-01-10,83 ,Lost Stars
83,MADDIE & TAE,2015-01-10,84 ,Girl In A Country Song
84,COLBIE CAILLAT,2015-01-10,85 ,Try
85,WALK THE MOON,2015-01-10,86 ,Shut Up And Dance
86,PITBULL & NE-YO,2015-01-10,87 ,Time Of Our Lives
87,NICKI MINAJ featuring ARIANA GRANDE,2015-01-10,88 ,Get On Your Knees
88,BEYONCE featuring NICKI MINAJ or CHIMAMANDA NGOZI ADICHIE,2015-01-10,89 ,***Flawless
89,J. COLE,2015-01-10,90 ,Apparently
90,RANDY HOUSER,2015-01-10,91 ,Like A Cowboy
91,KID INK featuring USHER & TINASHE,2015-01-10,92 ,Body Language
92,AUGUST ALSINA,2015-01-10,93 ,No Love
93,CHARLI XCX,2015-01-10,94 ,Break The Rules
94,CHRIS YOUNG,2015-01-10,95 ,Lonely Eyes
95,PITBULL featuring JOHN RYAN,2015-01-10,96 ,Fireball
96,DARIUS RUCKER,2015-01-10,97 ,Homegrown Honey
97,J. COLE,2015-01-10,98 ,Wet Dreamz
98,LORDE,2015-01-10,99 ,Yellow Flicker Beat
99,NICO & VINZ,2015-01-10,100,In Your Arms
0,TAYLOR SWIFT,2015-01-17,1  ,Blank Space
1,MARK RONSON featuring BRUNO MARS,2015-01-17,2  ,Uptown Funk!
2,HOZIER,2015-01-17,3  ,Take Me To Church
3,MEGHAN TRAINOR,2015-01-17,4  ,Lips Are Movin'
4,MEGHAN TRAINOR,2015-01-17,5  ,All About That Bass
5,SAM SMITH,2015-01-17,6  ,I'm Not The Only One
6,ED SHEERAN,2015-01-17,7  ,Thinking Out Loud
7,MAROON 5,2015-01-17,8  ,Animals
8,TAYLOR SWIFT,2015-01-17,9  ,Shake It Off
9,NICK JONAS,2015-01-17,10 ,Jealous
10,ARIANA GRANDE & THE WEEKND,2015-01-17,11 ,Love Me Harder
11,BIG SEAN featuring E-40,2015-01-17,12 ,I Don't Fuck With You
12,SELENA GOMEZ,2015-01-17,13 ,The Heart Wants What It Wants
13,FALL OUT BOY,2015-01-17,14 ,Centuries
14,"NICKI MINAJ featuring DRAKE, LIL WAYNE & CHRIS BROWN",2015-01-17,15 ,Only
15,JAMES NEWTON HOWARD featuring JENNIFER LAWRENCE,2015-01-17,16 ,The Hanging Tree
16,"JESSIE J, ARIANA GRANDE & NICKI MINAJ",2015-01-17,17 ,Bang Bang
17,I LOVE MAKONNEN featuring DRAKE,2015-01-17,18 ,Tuesday
18,RAE SREMMURD,2015-01-17,19 ,No Type
19,TOVE LO,2015-01-17,20 ,Habits (Stay High)
20,MR. PROBZ,2015-01-17,21 ,Waves
21,ED SHEERAN,2015-01-17,22 ,Don't
22,BOBBY SHMURDA,2015-01-17,23 ,Hot Boy
23,SAM SMITH,2015-01-17,24 ,Stay With Me
24,BEYONCE,2015-01-17,25 ,7/11
25,O.T. GENASIS,2015-01-17,26 ,CoCo
26,IGGY AZALEA featuring MO,2015-01-17,27 ,Beg For It
27,JEREMIH featuring YG,2015-01-17,28 ,Don't Tell 'Em
28,IGGY AZALEA featuring RITA ORA,2015-01-17,29 ,Black Widow
29,JASON DERULO,2015-01-17,30 ,Trumpets
30,CALVIN HARRIS featuring JOHN NEWMAN,2015-01-17,31 ,Blame
31,VANCE JOY,2015-01-17,32 ,Riptide
32,USHER featuring JUICY J,2015-01-17,33 ,I Don't Mind
33,ONE DIRECTION,2015-01-17,34 ,Night Changes
34,MAGIC!,2015-01-17,35 ,Rude
35,ALESSO featuring TOVE LO,2015-01-17,36 ,Heroes (We Could Be)
36,CARRIE UNDERWOOD,2015-01-17,37 ,Something In The Water
37,FERGIE,2015-01-17,38 ,L.A.LOVE (la la)
38,SIA,2015-01-17,39 ,Chandelier
39,FIFTH HARMONY,2015-01-17,40 ,Sledgehammer
40,TIM McGRAW,2015-01-17,41 ,Shotgun Rider
41,RICH GANG featuring YOUNG THUG & RICH HOMIE QUAN,2015-01-17,42 ,Lifestyle
42,ELLA HENDERSON,2015-01-17,43 ,Ghost
43,CLEAN BANDIT featuring JESS GLYNNE,2015-01-17,44 ,Rather Be
44,DEJ LOAF,2015-01-17,45 ,Try Me
45,PITBULL & NE-YO,2015-01-17,46 ,Time Of Our Lives
46,MILKY CHANCE,2015-01-17,47 ,Stolen Dance
47,NICKI MINAJ,2015-01-17,48 ,Anaconda
48,THE WEEKND,2015-01-17,49 ,Earned It (Fifty Shades Of Grey)
49,ARIANA GRANDE,2015-01-17,50 ,Santa Tell Me
50,ONE DIRECTION,2015-01-17,51 ,Steal My Girl
51,ERIC CHURCH,2015-01-17,52 ,Talladega
52,FLORIDA GEORGIA LINE,2015-01-17,53 ,Sun Daze
53,IMAGINE DRAGONS,2015-01-17,54 ,I Bet My Life
54,"DJ KHALED feat CHRIS BROWN, AUGUST ALSINA, FUTURE & JEREMIH",2015-01-17,55 ,Hold You Down
55,TREY SONGZ featuring NICKI MINAJ,2015-01-17,56 ,"Touchin', Lovin'"
56,LUKE BRYAN,2015-01-17,57 ,I See You
57,FLO RIDA featuring SAGE THE GEMINI & LOOKAS,2015-01-17,58 ,G.D.F.R.
58,NICKI MINAJ featuring BEYONCE,2015-01-17,59 ,Feeling Myself
59,LEE BRICE,2015-01-17,60 ,Drinking Class
60,RAELYNN,2015-01-17,61 ,God Made Girls
61,ONEREPUBLIC,2015-01-17,62 ,I Lived
62,BRAD PAISLEY,2015-01-17,63 ,Perfect Storm
63,MEGHAN TRAINOR,2015-01-17,64 ,Dear Future Husband
64,THE WEEKND,2015-01-17,65 ,Often
65,COLBIE CAILLAT,2015-01-17,66 ,Try
66,PENTATONIX,2015-01-17,67 ,"Mary, Did You Know?"
67,JESSIE J,2015-01-17,68 ,Masterpiece
68,BLAKE SHELTON featuring ASHLEY MONROE,2015-01-17,69 ,Lonely Tonight
69,DAVID GUETTA featuring SAM MARTIN,2015-01-17,70 ,Dangerous
70,LILLYWOOD & ROBIN SCHULZ,2015-01-17,71 ,Prayer In C
71,KID INK featuring USHER & TINASHE,2015-01-17,72 ,Body Language
72,NE-YO featuring JUICY J,2015-01-17,73 ,She Knows
73,JASON ALDEAN,2015-01-17,74 ,Just Gettin' Started
74,BEYONCE featuring NICKI MINAJ or CHIMAMANDA NGOZI ADICHIE,2015-01-17,75 ,***Flawless
75,THOMAS RHETT,2015-01-17,76 ,Make Me Wanna
76,CHRIS YOUNG,2015-01-17,77 ,Lonely Eyes
77,TAYLOR SWIFT,2015-01-17,78 ,Bad Blood
78,NICO & VINZ,2015-01-17,79 ,In Your Arms
79,NICKI MINAJ featuring SKYLAR GREY,2015-01-17,80 ,Bed Of Lies
80,KENNY CHESNEY,2015-01-17,81 ,Til It's Gone
81,KEITH URBAN,2015-01-17,82 ,Somewhere In My Car
82,BRETT ELDREDGE,2015-01-17,83 ,Mean To Me
83,TAYLOR SWIFT,2015-01-17,84 ,Style
84,PARMALEE,2015-01-17,85 ,Close Your Eyes
85,DARIUS RUCKER,2015-01-17,86 ,Homegrown Honey
86,JESSIE J featuring 2 CHAINZ,2015-01-17,87 ,Burnin' Up
87,AUGUST ALSINA,2015-01-17,88 ,No Love
88,WALK THE MOON,2015-01-17,89 ,Shut Up And Dance
89,LORDE,2015-01-17,90 ,Yellow Flicker Beat
90,CHARLI XCX,2015-01-17,91 ,Break The Rules
91,SHAWN MENDES,2015-01-17,92 ,Something Big
92,PRINCE ROYCE featuring SNOOP DOGG,2015-01-17,93 ,Stuck On A Feeling
93,J. COLE,2015-01-17,94 ,Apparently
94,FRENCH MONTANA featuring JEREMIH,2015-01-17,95 ,Bad Bitch
95,RANDY HOUSER,2015-01-17,96 ,Like A Cowboy
96,BLAKE SHELTON,2015-01-17,97 ,Neon Light
97,BECKY G,2015-01-17,98 ,Can't Stop Dancin'
98,"JUICY J, WIZ KHALIFA & TY DOLLA $IGN featuring KILL THE NOIS",2015-01-17,99 ,Shell Shocked
99,MEGHAN TRAINOR,2015-01-17,100,Title
0,MARK RONSON featuring BRUNO MARS,2015-01-24,1  ,Uptown Funk!
1,TAYLOR SWIFT,2015-01-24,2  ,Blank Space
2,HOZIER,2015-01-24,3  ,Take Me To Church
3,ED SHEERAN,2015-01-24,4  ,Thinking Out Loud
4,MEGHAN TRAINOR,2015-01-24,5  ,Lips Are Movin'
5,MEGHAN TRAINOR,2015-01-24,6  ,All About That Bass
6,TAYLOR SWIFT,2015-01-24,7  ,Shake It Off
7,SAM SMITH,2015-01-24,8  ,I'm Not The Only One
8,NICK JONAS,2015-01-24,9  ,Jealous
9,MAROON 5,2015-01-24,10 ,Animals
10,ARIANA GRANDE & THE WEEKND,2015-01-24,11 ,Love Me Harder
11,BIG SEAN featuring E-40,2015-01-24,12 ,I Don't Fuck With You
12,FALL OUT BOY,2015-01-24,13 ,Centuries
13,SELENA GOMEZ,2015-01-24,14 ,The Heart Wants What It Wants
14,"JESSIE J, ARIANA GRANDE & NICKI MINAJ",2015-01-24,15 ,Bang Bang
15,"NICKI MINAJ featuring DRAKE, LIL WAYNE & CHRIS BROWN",2015-01-24,16 ,Only
16,JAMES NEWTON HOWARD featuring JENNIFER LAWRENCE,2015-01-24,17 ,The Hanging Tree
17,I LOVE MAKONNEN featuring DRAKE,2015-01-24,18 ,Tuesday
18,SAM SMITH,2015-01-24,19 ,Stay With Me
19,TOVE LO,2015-01-24,20 ,Habits (Stay High)
20,RAE SREMMURD,2015-01-24,21 ,No Type
21,MR. PROBZ,2015-01-24,22 ,Waves
22,ED SHEERAN,2015-01-24,23 ,Don't
23,BEYONCE,2015-01-24,24 ,7/11
24,BOBBY SHMURDA,2015-01-24,25 ,Hot Boy
25,O.T. GENASIS,2015-01-24,26 ,CoCo
26,MAGIC!,2015-01-24,27 ,Rude
27,USHER featuring JUICY J,2015-01-24,28 ,I Don't Mind
28,IGGY AZALEA featuring MO,2015-01-24,29 ,Beg For It
29,JEREMIH featuring YG,2015-01-24,30 ,Don't Tell 'Em
30,IGGY AZALEA featuring RITA ORA,2015-01-24,31 ,Black Widow
31,CALVIN HARRIS featuring JOHN NEWMAN,2015-01-24,32 ,Blame
32,PITBULL & NE-YO,2015-01-24,33 ,Time Of Our Lives
33,ONE DIRECTION,2015-01-24,34 ,Night Changes
34,KANYE WEST featuring PAUL McCARTNEY,2015-01-24,35 ,Only One
35,VANCE JOY,2015-01-24,36 ,Riptide
36,SIA,2015-01-24,37 ,Chandelier
37,FERGIE,2015-01-24,38 ,L.A.LOVE (la la)
38,ALESSO featuring TOVE LO,2015-01-24,39 ,Heroes (We Could Be)
39,JASON DERULO,2015-01-24,40 ,Trumpets
40,ELLA HENDERSON,2015-01-24,41 ,Ghost
41,CARRIE UNDERWOOD,2015-01-24,42 ,Something In The Water
42,TIM McGRAW,2015-01-24,43 ,Shotgun Rider
43,CLEAN BANDIT featuring JESS GLYNNE,2015-01-24,44 ,Rather Be
44,MILKY CHANCE,2015-01-24,45 ,Stolen Dance
45,FIFTH HARMONY,2015-01-24,46 ,Sledgehammer
46,DEJ LOAF,2015-01-24,47 ,Try Me
47,NICKI MINAJ,2015-01-24,48 ,Anaconda
48,ERIC CHURCH,2015-01-24,49 ,Talladega
49,RICH GANG featuring YOUNG THUG & RICH HOMIE QUAN,2015-01-24,50 ,Lifestyle
50,FLORIDA GEORGIA LINE,2015-01-24,51 ,Sun Daze
51,TREY SONGZ featuring NICKI MINAJ,2015-01-24,52 ,"Touchin', Lovin'"
52,ONEREPUBLIC,2015-01-24,53 ,I Lived
53,FLO RIDA featuring SAGE THE GEMINI & LOOKAS,2015-01-24,54 ,G.D.F.R.
54,ONE DIRECTION,2015-01-24,55 ,Steal My Girl
55,LUKE BRYAN,2015-01-24,56 ,I See You
56,BRAD PAISLEY,2015-01-24,57 ,Perfect Storm
57,IMAGINE DRAGONS,2015-01-24,58 ,I Bet My Life
58,NICKI MINAJ featuring BEYONCE,2015-01-24,59 ,Feeling Myself
59,LILLYWOOD & ROBIN SCHULZ,2015-01-24,60 ,Prayer In C
60,NE-YO featuring JUICY J,2015-01-24,61 ,She Knows
61,BLAKE SHELTON featuring ASHLEY MONROE,2015-01-24,62 ,Lonely Tonight
62,LEE BRICE,2015-01-24,63 ,Drinking Class
63,"DJ KHALED feat CHRIS BROWN, AUGUST ALSINA, FUTURE & JEREMIH",2015-01-24,64 ,Hold You Down
64,COLBIE CAILLAT,2015-01-24,65 ,Try
65,JASON ALDEAN,2015-01-24,66 ,Just Gettin' Started
66,RAELYNN,2015-01-24,67 ,God Made Girls
67,KENNY CHESNEY,2015-01-24,68 ,Til It's Gone
68,THE WEEKND,2015-01-24,69 ,Often
69,DAVID GUETTA featuring SAM MARTIN,2015-01-24,70 ,Dangerous
70,TAYLOR SWIFT,2015-01-24,71 ,Style
71,THOMAS RHETT,2015-01-24,72 ,Make Me Wanna
72,CHRIS YOUNG,2015-01-24,73 ,Lonely Eyes
73,PARMALEE,2015-01-24,74 ,Close Your Eyes
74,BRETT ELDREDGE,2015-01-24,75 ,Mean To Me
75,KID INK featuring USHER & TINASHE,2015-01-24,76 ,Body Language
76,WALK THE MOON,2015-01-24,77 ,Shut Up And Dance
77,PRINCE ROYCE featuring SNOOP DOGG,2015-01-24,78 ,Stuck On A Feeling
78,KEITH URBAN,2015-01-24,79 ,Somewhere In My Car
79,SHAWN MENDES,2015-01-24,80 ,Something Big
80,BEYONCE featuring NICKI MINAJ or CHIMAMANDA NGOZI ADICHIE,2015-01-24,81 ,***Flawless
81,DARIUS RUCKER,2015-01-24,82 ,Homegrown Honey
82,RANDY HOUSER,2015-01-24,83 ,Like A Cowboy
83,MEGHAN TRAINOR,2015-01-24,84 ,Dear Future Husband
84,NICO & VINZ,2015-01-24,85 ,In Your Arms
85,J. COLE,2015-01-24,86 ,Apparently
86,THE WEEKND,2015-01-24,87 ,Earned It (Fifty Shades Of Grey)
87,AUGUST ALSINA,2015-01-24,88 ,No Love
88,BLAKE SHELTON,2015-01-24,89 ,Neon Light
89,CALVIN HARRIS featuring ELLIE GOULDING,2015-01-24,90 ,Outside
90,NICKI MINAJ featuring SKYLAR GREY,2015-01-24,91 ,Bed Of Lies
91,RAE SREMMURD featuring NICKI MINAJ & YOUNG THUG,2015-01-24,92 ,Throw Sum Mo
92,SAM HUNT,2015-01-24,93 ,Take Your Time
93,LORDE,2015-01-24,94 ,Yellow Flicker Beat
94,JAKE OWEN,2015-01-24,95 ,What We Ain't Got
95,SHEPPARD,2015-01-24,96 ,Geronimo
96,TYLER FARR,2015-01-24,97 ,A Guy Walks Into A Bar
97,CHASE BRYANT,2015-01-24,98 ,Take It On Back
98,COLE SWINDELL,2015-01-24,99 ,Ain't Worth The Whiskey
99,G-EAZY featuring REMO,2015-01-24,100,I Mean It
0,MARK RONSON featuring BRUNO MARS,2015-01-31,1  ,Uptown Funk!
1,TAYLOR SWIFT,2015-01-31,2  ,Blank Space
2,HOZIER,2015-01-31,3  ,Take Me To Church
3,ED SHEERAN,2015-01-31,4  ,Thinking Out Loud
4,SAM SMITH,2015-01-31,5  ,I'm Not The Only One
5,MEGHAN TRAINOR,2015-01-31,6  ,Lips Are Movin'
6,NICK JONAS,2015-01-31,7  ,Jealous
7,ARIANA GRANDE & THE WEEKND,2015-01-31,8  ,Love Me Harder
8,TAYLOR SWIFT,2015-01-31,9  ,Shake It Off
9,MEGHAN TRAINOR,2015-01-31,10 ,All About That Bass
10,MAROON 5,2015-01-31,11 ,Animals
